NennmaÃŸbereich bis;1-18;1-18;1-18;1-18;1-18;1-18;1-18;1-18;1-18;1-18;1-18;1-18;5-6;7;8;1-3;4-7;8-18;1-18;1-18;1-18;1-18;1-18;1-18;1-18;1-18;1-18;1-18;1-18;1-18;1-18;1-18
;a;b;c;cd;d;e;ef;f;fg;g;h;js;i;i;i;k;k;k;m;n;p;r;s;t;u;v;x;y;z;za;zb;zc
1;u;u;-60;-34;-20;-14;-10;-6;-4;-2;0;js;-2;-4;-6;0;0;0;2;4;6;10;14;u;18;u;20;u;26;32;40;60
3;-270;-140;-60;-34;-20;-14;-10;-6;-4;-2;0;js;-2;-4;-6;0;0;0;2;4;6;10;14;u;18;u;20;u;26;32;40;60
6;-270;-140;-70;-46;-30;-20;-14;-10;-6;-4;0;js;-2;-4;u;0;1;0;4;8;12;15;19;u;23;u;28;u;35;42;50;80
10;-280;-150;-80;-56;-40;-25;-18;-13;-8;-5;0;js;-2;-5;u;0;1;0;6;10;15;19;23;u;28;u;34;u;42;52;67;97
14;-290;-150;-95;u;-50;-32;u;-16;u;-6;0;js;-3;-6;u;0;1;0;7;12;18;23;28;u;33;u;40;u;50;64;90;130
18;-290;-150;-95;u;-50;-32;u;-16;u;-6;0;js;-3;-6;u;0;1;0;7;12;18;23;28;u;33;39;45;u;60;77;108;150
24;-300;-160;-110;u;-65;-40;u;-20;u;-7;0;js;-4;-8;u;0;2;0;8;15;22;28;35;u;41;47;54;63;73;98;136;188
30;-300;-160;-110;u;-65;-40;u;-20;u;-7;0;js;-4;-8;u;0;2;0;8;15;22;28;35;41;48;55;64;75;88;118;160;218
40;-310;-170;-120;u;-80;-50;u;-25;u;-9;0;js;-5;-10;u;0;2;0;9;17;26;34;43;48;60;68;80;94;112;148;200;274
50;-320;-180;-130;u;-80;-50;u;-25;u;-9;0;js;-5;-10;u;0;2;0;9;17;26;34;43;54;70;81;97;114;136;180;242;325
65;-340;-190;-140;u;-100;-60;u;-30;u;-10;0;js;-7;-12;u;0;2;0;11;20;32;41;53;66;87;102;122;144;172;226;300;405
80;-360;-200;-150;u;-100;-60;u;-30;u;-10;0;js;-7;-12;u;0;2;0;11;20;32;43;59;75;102;120;146;174;210;274;360;480
100;-380;-220;-170;u;-120;-72;u;-36;u;-12;0;js;-9;-15;u;0;3;0;13;23;37;51;71;91;124;146;178;214;258;335;445;585
120;-410;-240;-180;u;-120;-72;u;-36;u;-12;0;js;-9;-15;u;0;3;0;13;23;37;54;79;104;144;172;210;254;310;400;525;690
140;-460;-260;-200;u;-145;-85;u;-43;u;-14;0;js;-11;-18;u;0;3;0;15;27;43;63;92;122;170;202;248;300;365;470;620;800
160;-520;-280;-210;u;-145;-85;u;-43;u;-14;0;js;-11;-18;u;0;3;0;15;27;43;65;100;134;190;228;280;340;415;535;700;900
180;-580;-310;-230;u;-145;-85;u;-43;u;-14;0;js;-11;-18;u;0;3;0;15;27;43;68;108;146;210;252;310;380;485;600;780;1000
200;-660;-340;-240;u;-170;-100;u;-50;u;-15;0;js;-13;-21;u;0;4;0;17;31;50;77;122;166;236;284;350;425;520;670;880;1150
225;-740;-380;-260;u;-170;-100;u;-50;u;-15;0;js;-13;-21;u;0;4;0;17;31;50;80;130;180;258;310;385;470;575;740;960;1250
250;-820;-420;-280;u;-170;-100;u;-50;u;-15;0;js;-13;-21;u;0;4;0;17;31;50;84;140;196;284;340;425;520;640;820;1050;1350
280;-920;-480;-300;u;-190;-110;u;-56;u;-17;0;js;-16;-26;u;0;4;0;20;34;56;94;158;218;315;385;475;580;710;920;1200;1550
315;-1050;-540;-330;u;-190;-110;u;-56;u;-17;0;js;-16;-26;u;0;4;0;20;34;56;98;170;240;350;425;525;650;790;1000;1300;1700
355;-1200;-600;-360;u;-210;-125;u;-62;u;-18;0;js;-18;-28;u;0;4;0;21;37;62;108;190;268;390;475;590;730;900;1150;1500;1900
400;-1350;-680;-400;u;-210;-125;u;-62;u;-18;0;js;-18;-28;u;0;4;0;21;37;62;114;208;294;435;530;660;820;1000;1300;1650;2100
450;-1500;-760;-440;u;-230;-135;u;-68;u;-20;0;js;-20;-32;u;0;5;0;23;40;68;126;232;330;490;595;740;920;1100;1450;1850;2400
500;-1650;-840;-480;u;-230;-135;u;-68;u;-20;0;js;-20;u;u;0;5;0;23;40;68;132;252;360;540;660;820;1000;1250;1600;2100;2600
560;u;u;u;u;-260;-145;u;-76;u;-22;0;js;u;u;u;0;0;0;26;44;78;150;280;400;600;u;u;u;u;u;u;u
630;u;u;u;u;-260;-145;u;-76;u;-22;0;js;u;u;u;0;0;0;26;44;78;155;310;450;660;u;u;u;u;u;u;u
710;u;u;u;u;-290;-160;u;-80;u;-24;0;js;u;u;u;0;0;0;30;50;88;175;340;500;740;u;u;u;u;u;u;u
800;u;u;u;u;-290;-160;u;-80;u;-24;0;js;u;u;u;0;0;0;30;50;88;185;380;560;840;u;u;u;u;u;u;u
900;u;u;u;u;-320;-170;u;-86;u;-26;0;js;u;u;u;0;0;0;34;56;100;210;430;620;940;u;u;u;u;u;u;u
1000;u;u;u;u;-320;-170;u;-86;u;-26;0;js;u;u;u;0;0;0;34;56;100;220;470;680;1050;u;u;u;u;u;u;u
1120;u;u;u;u;-350;-195;u;-98;u;-28;0;js;u;u;u;0;0;0;40;66;120;250;520;780;1150;u;u;u;u;u;u;u
1250;u;u;u;u;-350;-195;u;-98;u;-28;0;js;u;u;u;0;0;0;40;66;120;260;580;840;1300;u;u;u;u;u;u;u
1400;u;u;u;u;-390;-220;u;-110;u;-30;0;js;u;u;u;0;0;0;48;78;140;300;640;960;1450;u;u;u;u;u;u;u
1600;u;u;u;u;-390;-220;u;-110;u;-30;0;js;u;u;u;0;0;0;48;78;140;330;720;1050;1600;u;u;u;u;u;u;u
1800;u;u;u;u;-430;-240;u;-120;u;-32;0;js;u;u;u;0;0;0;58;92;170;370;820;1200;1850;u;u;u;u;u;u;u
2000;u;u;u;u;-430;-240;u;-120;u;-32;0;js;u;u;u;0;0;0;58;92;170;400;920;1350;2000;u;u;u;u;u;u;u
2240;u;u;u;u;-480;-260;u;-130;u;-34;0;js;u;u;u;0;0;0;68;110;195;440;1000;1500;2300;u;u;u;u;u;u;u
2500;u;u;u;u;-480;-260;u;-130;u;-34;0;js;u;u;u;0;0;0;68;110;195;460;1100;1650;2500;u;u;u;u;u;u;u
2800;u;u;u;u;-520;-290;u;-145;u;-38;0;js;u;u;u;0;0;0;76;135;240;550;1250;1900;2900;u;u;u;u;u;u;u
3150;u;u;u;u;-520;-290;u;-145;u;-38;0;js;u;u;u;0;0;0;76;135;240;580;1400;2100;3200;u;u;u;u;u;u;u
